Epsilon,Lamda,Size,Criterion,Loss,OptimizerType,Checkpoint,Trial
0.5,5,Small,RMSE,61.60036087036133,OptimiserType.AdamW,000000,5
0.5,5,Small,MAPE,0.9938763380050659,OptimiserType.AdamW,000000,5
0.5,5,Small,MAE,60.771995544433594,OptimiserType.AdamW,000000,5
0.5,5,Small,MSE,3800.114501953125,OptimiserType.AdamW,000000,5
0.5,5,Small,RMSE,61.68393325805664,OptimiserType.AdamW,000001,5
0.5,5,Small,MAPE,0.9953518509864807,OptimiserType.AdamW,000001,5
0.5,5,Small,MAE,60.85676956176758,OptimiserType.AdamW,000001,5
0.5,5,Small,MSE,3810.419921875,OptimiserType.AdamW,000001,5
0.5,5,Small,RMSE,61.3958625793457,OptimiserType.AdamW,000002,5
0.5,5,Small,MAPE,0.990274965763092,OptimiserType.AdamW,000002,5
0.5,5,Small,MAE,60.56477737426758,OptimiserType.AdamW,000002,5
0.5,5,Small,MSE,3774.9375,OptimiserType.AdamW,000002,5
0.5,5,Small,RMSE,60.96444320678711,OptimiserType.AdamW,000003,5
0.5,5,Small,MAPE,0.9826687574386597,OptimiserType.AdamW,000003,5
0.5,5,Small,MAE,60.12735366821289,OptimiserType.AdamW,000003,5
0.5,5,Small,MSE,3722.0771484375,OptimiserType.AdamW,000003,5
0.5,5,Small,RMSE,60.348384857177734,OptimiserType.AdamW,000004,5
0.5,5,Small,MAPE,0.9718019962310791,OptimiserType.AdamW,000004,5
0.5,5,Small,MAE,59.50252151489258,OptimiserType.AdamW,000004,5
0.5,5,Small,MSE,3647.2421875,OptimiserType.AdamW,000004,5
0.5,5,Small,RMSE,59.497676849365234,OptimiserType.AdamW,000005,5
0.5,5,Small,MAPE,0.9567928910255432,OptimiserType.AdamW,000005,5
0.5,5,Small,MAE,58.63943862915039,OptimiserType.AdamW,000005,5
0.5,5,Small,MSE,3545.1591796875,OptimiserType.AdamW,000005,5
0.5,5,Small,RMSE,58.35466003417969,OptimiserType.AdamW,000006,5
0.5,5,Small,MAPE,0.9366195797920227,OptimiserType.AdamW,000006,5
0.5,5,Small,MAE,57.47917175292969,OptimiserType.AdamW,000006,5
0.5,5,Small,MSE,3410.279052734375,OptimiserType.AdamW,000006,5
