Epsilon,Lamda,Size,Criterion,Loss,OptimizerType,Checkpoint,Trial
0.5,10,Small,MAPE,0.9854035973548889,OptimiserType.RMSprop,000017,3
0.5,10,Small,MAE,60.2844352722168,OptimiserType.RMSprop,000017,3
0.5,10,Small,MSE,3740.9990234375,OptimiserType.RMSprop,000017,3
0.5,10,Small,RMSE,61.095035552978516,OptimiserType.RMSprop,000018,3
0.5,10,Small,MAPE,0.9849767088890076,OptimiserType.RMSprop,000018,3
0.5,10,Small,MAE,60.25985336303711,OptimiserType.RMSprop,000018,3
0.5,10,Small,MSE,3738.03662109375,OptimiserType.RMSprop,000018,3
0.5,10,Small,RMSE,61.071441650390625,OptimiserType.RMSprop,000019,3
0.5,10,Small,MAPE,0.9845606684684753,OptimiserType.RMSprop,000019,3
0.5,10,Small,MAE,60.23598098754883,OptimiserType.RMSprop,000019,3
0.5,10,Small,MSE,3735.146484375,OptimiserType.RMSprop,000019,3
0.5,10,Small,RMSE,61.04829788208008,OptimiserType.RMSprop,000020,3
0.5,10,Small,MAPE,0.9841543436050415,OptimiserType.RMSprop,000020,3
0.5,10,Small,MAE,60.21257400512695,OptimiserType.RMSprop,000020,3
0.5,10,Small,MSE,3732.321044921875,OptimiserType.RMSprop,000020,3
0.5,10,Small,RMSE,61.02578353881836,OptimiserType.RMSprop,000021,3
0.5,10,Small,MAPE,0.9837554097175598,OptimiserType.RMSprop,000021,3
0.5,10,Small,MAE,60.18960952758789,OptimiserType.RMSprop,000021,3
0.5,10,Small,MSE,3729.5615234375,OptimiserType.RMSprop,000021,3
0.5,10,Small,RMSE,61.0036506652832,OptimiserType.RMSprop,000022,3
0.5,10,Small,MAPE,0.9833658933639526,OptimiserType.RMSprop,000022,3
0.5,10,Small,MAE,60.16719055175781,OptimiserType.RMSprop,000022,3
0.5,10,Small,MSE,3726.860107421875,OptimiserType.RMSprop,000022,3
0.5,10,Small,RMSE,60.98193359375,OptimiserType.RMSprop,000023,3
0.5,10,Small,MAPE,0.982983410358429,OptimiserType.RMSprop,000023,3
0.5,10,Small,MAE,60.145240783691406,OptimiserType.RMSprop,000023,3
0.5,10,Small,MSE,3724.211181640625,OptimiserType.RMSprop,000023,3
0.5,10,Small,RMSE,60.96066665649414,OptimiserType.RMSprop,000024,3
0.5,10,Small,MAPE,0.9826087355613708,OptimiserType.RMSprop,000024,3
0.5,10,Small,MAE,60.123626708984375,OptimiserType.RMSprop,000024,3
0.5,10,Small,MSE,3721.61279296875,OptimiserType.RMSprop,000024,3
0.5,10,Small,RMSE,60.93980026245117,OptimiserType.RMSprop,000025,3
0.5,10,Small,MAPE,0.9822396636009216,OptimiserType.RMSprop,000025,3
0.5,10,Small,MAE,60.102439880371094,OptimiserType.RMSprop,000025,3
0.5,10,Small,MSE,3719.06689453125,OptimiserType.RMSprop,000025,3
0.5,10,Small,RMSE,60.91926574707031,OptimiserType.RMSprop,000026,3
0.5,10,Small,MAPE,0.9818780422210693,OptimiserType.RMSprop,000026,3
0.5,10,Small,MAE,60.081626892089844,OptimiserType.RMSprop,000026,3
0.5,10,Small,MSE,3716.559326171875,OptimiserType.RMSprop,000026,3
0.5,10,Small,RMSE,60.899051666259766,OptimiserType.RMSprop,000027,3
0.5,10,Small,MAPE,0.9815222024917603,OptimiserType.RMSprop,000027,3
0.5,10,Small,MAE,60.061119079589844,OptimiserType.RMSprop,000027,3
0.5,10,Small,MSE,3714.092041015625,OptimiserType.RMSprop,000027,3
0.5,10,Small,RMSE,60.879146575927734,OptimiserType.RMSprop,000028,3
0.5,10,Small,MAPE,0.9811708331108093,OptimiserType.RMSprop,000028,3
0.5,10,Small,MAE,60.0410041809082,OptimiserType.RMSprop,000028,3
0.5,10,Small,MSE,3711.666748046875,OptimiserType.RMSprop,000028,3
0.5,10,Small,RMSE,60.859561920166016,OptimiserType.RMSprop,000029,3
0.5,10,Small,MAPE,0.980826199054718,OptimiserType.RMSprop,000029,3
0.5,10,Small,MAE,60.02113342285156,OptimiserType.RMSprop,000029,3
0.5,10,Small,MSE,3709.2822265625,OptimiserType.RMSprop,000029,3
0.5,10,Small,RMSE,60.840267181396484,OptimiserType.RMSprop,000030,3
0.5,10,Small,MAPE,0.980485200881958,OptimiserType.RMSprop,000030,3
0.5,10,Small,MAE,60.001556396484375,OptimiserType.RMSprop,000030,3
0.5,10,Small,MSE,3706.9287109375,OptimiserType.RMSprop,000030,3
0.5,10,Small,RMSE,60.82119369506836,OptimiserType.RMSprop,000031,3
0.5,10,Small,MAPE,0.9801493287086487,OptimiserType.RMSprop,000031,3
0.5,10,Small,MAE,59.982261657714844,OptimiserType.RMSprop,000031,3
0.5,10,Small,MSE,3704.607177734375,OptimiserType.RMSprop,000031,3
0.5,10,Small,RMSE,60.80244445800781,OptimiserType.RMSprop,000032,3
0.5,10,Small,MAPE,0.9798192977905273,OptimiserType.RMSprop,000032,3
0.5,10,Small,MAE,59.96318817138672,OptimiserType.RMSprop,000032,3
0.5,10,Small,MSE,3702.3212890625,OptimiserType.RMSprop,000032,3
0.5,10,Small,RMSE,60.783939361572266,OptimiserType.RMSprop,000033,3
0.5,10,Small,MAPE,0.9794920086860657,OptimiserType.RMSprop,000033,3
0.5,10,Small,MAE,59.94437026977539,OptimiserType.RMSprop,000033,3
0.5,10,Small,MSE,3700.064208984375,OptimiserType.RMSprop,000033,3
0.5,10,Small,RMSE,60.765586853027344,OptimiserType.RMSprop,000034,3
0.5,10,Small,MAPE,0.9791697859764099,OptimiserType.RMSprop,000034,3
0.5,10,Small,MAE,59.92585372924805,OptimiserType.RMSprop,000034,3
0.5,10,Small,MSE,3697.836181640625,OptimiserType.RMSprop,000034,3
0.5,10,Small,RMSE,60.74755859375,OptimiserType.RMSprop,000035,3
0.5,10,Small,MAPE,0.9788501262664795,OptimiserType.RMSprop,000035,3
0.5,10,Small,MAE,59.907466888427734,OptimiserType.RMSprop,000035,3
0.5,10,Small,MSE,3695.63623046875,OptimiserType.RMSprop,000035,3
0.5,10,Small,RMSE,60.729652404785156,OptimiserType.RMSprop,000036,3
0.5,10,Small,MAPE,0.9785352349281311,OptimiserType.RMSprop,000036,3
0.5,10,Small,MAE,59.88935470581055,OptimiserType.RMSprop,000036,3
0.5,10,Small,MSE,3693.460205078125,OptimiserType.RMSprop,000036,3
0.5,10,Small,RMSE,60.711917877197266,OptimiserType.RMSprop,000037,3
0.5,10,Small,MAPE,0.9782239198684692,OptimiserType.RMSprop,000037,3
0.5,10,Small,MAE,59.87144470214844,OptimiserType.RMSprop,000037,3
0.5,10,Small,MSE,3691.31298828125,OptimiserType.RMSprop,000037,3
0.5,10,Small,RMSE,60.694480895996094,OptimiserType.RMSprop,000038,3
0.5,10,Small,MAPE,0.9779150485992432,OptimiserType.RMSprop,000038,3
0.5,10,Small,MAE,59.85374069213867,OptimiserType.RMSprop,000038,3
0.5,10,Small,MSE,3689.185791015625,OptimiserType.RMSprop,000038,3
0.5,10,Small,RMSE,60.67720413208008,OptimiserType.RMSprop,000039,3
0.5,10,Small,MAPE,0.9776104092597961,OptimiserType.RMSprop,000039,3
0.5,10,Small,MAE,59.8361930847168,OptimiserType.RMSprop,000039,3
0.5,10,Small,MSE,3687.084716796875,OptimiserType.RMSprop,000039,3
0.5,10,Small,RMSE,60.660072326660156,OptimiserType.RMSprop,000040,3
0.5,10,Small,MAPE,0.977308452129364,OptimiserType.RMSprop,000040,3
0.5,10,Small,MAE,59.81882095336914,OptimiserType.RMSprop,000040,3
0.5,10,Small,MSE,3685.006591796875,OptimiserType.RMSprop,000040,3
0.5,10,Small,RMSE,60.643165588378906,OptimiserType.RMSprop,000041,3
0.5,10,Small,MAPE,0.9770101308822632,OptimiserType.RMSprop,000041,3
0.5,10,Small,MAE,59.80166244506836,OptimiserType.RMSprop,000041,3
0.5,10,Small,MSE,3682.94677734375,OptimiserType.RMSprop,000041,3
0.5,10,Small,RMSE,60.62635040283203,OptimiserType.RMSprop,000042,3
0.5,10,Small,MAPE,0.9767142534255981,OptimiserType.RMSprop,000042,3
0.5,10,Small,MAE,59.78461456298828,OptimiserType.RMSprop,000042,3
0.5,10,Small,MSE,3680.9091796875,OptimiserType.RMSprop,000042,3
0.5,10,Small,RMSE,60.60974884033203,OptimiserType.RMSprop,000043,3
0.5,10,Small,MAPE,0.9764211177825928,OptimiserType.RMSprop,000043,3
0.5,10,Small,MAE,59.76777648925781,OptimiserType.RMSprop,000043,3
0.5,10,Small,MSE,3678.889892578125,OptimiserType.RMSprop,000043,3
0.5,10,Small,RMSE,60.59321212768555,OptimiserType.RMSprop,000044,3
0.5,10,Small,MAPE,0.9761297702789307,OptimiserType.RMSprop,000044,3
0.5,10,Small,MAE,59.75106430053711,OptimiserType.RMSprop,000044,3
0.5,10,Small,MSE,3676.89208984375,OptimiserType.RMSprop,000044,3
0.5,10,Small,RMSE,60.576961517333984,OptimiserType.RMSprop,000045,3
0.5,10,Small,MAPE,0.9758425354957581,OptimiserType.RMSprop,000045,3
0.5,10,Small,MAE,59.73447799682617,OptimiserType.RMSprop,000045,3
0.5,10,Small,MSE,3674.91015625,OptimiserType.RMSprop,000045,3
0.5,10,Small,RMSE,60.56072998046875,OptimiserType.RMSprop,000046,3
0.5,10,Small,MAPE,0.9755572080612183,OptimiserType.RMSprop,000046,3
0.5,10,Small,MAE,59.71804428100586,OptimiserType.RMSprop,000046,3
0.5,10,Small,MSE,3672.947998046875,OptimiserType.RMSprop,000046,3
0.5,10,Small,RMSE,60.54466247558594,OptimiserType.RMSprop,000047,3
0.5,10,Small,MAPE,0.9752739667892456,OptimiserType.RMSprop,000047,3
0.5,10,Small,MAE,59.70178985595703,OptimiserType.RMSprop,000047,3
0.5,10,Small,MSE,3670.998046875,OptimiserType.RMSprop,000047,3
0.5,10,Small,RMSE,60.52873611450195,OptimiserType.RMSprop,000048,3
0.5,10,Small,MAPE,0.9749936461448669,OptimiserType.RMSprop,000048,3
0.5,10,Small,MAE,59.6856689453125,OptimiserType.RMSprop,000048,3
0.5,10,Small,MSE,3669.071533203125,OptimiserType.RMSprop,000048,3
0.5,10,Small,RMSE,60.51295471191406,OptimiserType.RMSprop,000049,3
0.5,10,Small,MAPE,0.9747148752212524,OptimiserType.RMSprop,000049,3
0.5,10,Small,MAE,59.66962432861328,OptimiserType.RMSprop,000049,3
0.5,10,Small,MSE,3667.15771484375,OptimiserType.RMSprop,000049,3
0.5,10,Small,RMSE,60.497283935546875,OptimiserType.RMSprop,000050,3
0.5,10,Small,MAPE,0.9744386076927185,OptimiserType.RMSprop,000050,3
0.5,10,Small,MAE,59.65373611450195,OptimiserType.RMSprop,000050,3
0.5,10,Small,MSE,3665.255126953125,OptimiserType.RMSprop,000050,3
0.5,10,Small,RMSE,60.48173141479492,OptimiserType.RMSprop,000051,3
0.5,10,Small,MAPE,0.9741643667221069,OptimiserType.RMSprop,000051,3
0.5,10,Small,MAE,59.63800048828125,OptimiserType.RMSprop,000051,3
0.5,10,Small,MSE,3663.37353515625,OptimiserType.RMSprop,000051,3
0.5,10,Small,RMSE,60.46628189086914,OptimiserType.RMSprop,000052,3
0.5,10,Small,MAPE,0.973892331123352,OptimiserType.RMSprop,000052,3
0.5,10,Small,MAE,59.622344970703125,OptimiserType.RMSprop,000052,3
0.5,10,Small,MSE,3661.50244140625,OptimiserType.RMSprop,000052,3
0.5,10,Small,RMSE,60.45098114013672,OptimiserType.RMSprop,000053,3
0.5,10,Small,MAPE,0.9736224412918091,OptimiserType.RMSprop,000053,3
0.5,10,Small,MAE,59.60680389404297,OptimiserType.RMSprop,000053,3
0.5,10,Small,MSE,3659.6484375,OptimiserType.RMSprop,000053,3
0.5,10,Small,RMSE,60.435760498046875,OptimiserType.RMSprop,000054,3
0.5,10,Small,MAPE,0.9733533263206482,OptimiserType.RMSprop,000054,3
0.5,10,Small,MAE,59.59134292602539,OptimiserType.RMSprop,000054,3
0.5,10,Small,MSE,3657.8125,OptimiserType.RMSprop,000054,3
0.5,10,Small,RMSE,60.42069625854492,OptimiserType.RMSprop,000055,3
0.5,10,Small,MAPE,0.973088264465332,OptimiserType.RMSprop,000055,3
0.5,10,Small,MAE,59.57600021362305,OptimiserType.RMSprop,000055,3
0.5,10,Small,MSE,3655.978759765625,OptimiserType.RMSprop,000055,3
0.5,10,Small,RMSE,60.405643463134766,OptimiserType.RMSprop,000056,3
0.5,10,Small,MAPE,0.972822904586792,OptimiserType.RMSprop,000056,3
0.5,10,Small,MAE,59.56081008911133,OptimiserType.RMSprop,000056,3
0.5,10,Small,MSE,3654.1630859375,OptimiserType.RMSprop,000056,3
0.5,10,Small,RMSE,60.39071273803711,OptimiserType.RMSprop,000057,3
0.5,10,Small,MAPE,0.9725598096847534,OptimiserType.RMSprop,000057,3
0.5,10,Small,MAE,59.545677185058594,OptimiserType.RMSprop,000057,3
0.5,10,Small,MSE,3652.357421875,OptimiserType.RMSprop,000057,3
0.5,10,Small,RMSE,60.37590026855469,OptimiserType.RMSprop,000058,3
0.5,10,Small,MAPE,0.9722985625267029,OptimiserType.RMSprop,000058,3
0.5,10,Small,MAE,59.53062057495117,OptimiserType.RMSprop,000058,3
0.5,10,Small,MSE,3650.56884765625,OptimiserType.RMSprop,000058,3
0.5,10,Small,RMSE,60.36117172241211,OptimiserType.RMSprop,000059,3
0.5,10,Small,MAPE,0.9720384478569031,OptimiserType.RMSprop,000059,3
0.5,10,Small,MAE,59.515708923339844,OptimiserType.RMSprop,000059,3
0.5,10,Small,MSE,3648.790283203125,OptimiserType.RMSprop,000059,3
0.5,10,Small,RMSE,60.346595764160156,OptimiserType.RMSprop,000060,3
