,Epsilon,Lamda,Size,Criterion,Loss,OptimizerType,Checkpoint,Trial
67,0.3,3,Experimental,MSE,3252.476318359375,OptimiserType.Adam,16,1
68,0.3,3,Experimental,RMSE,56.53546524047852,OptimiserType.Adam,17,1
69,0.3,3,Experimental,MAPE,0.9272889494895936,OptimiserType.Adam,17,1
70,0.3,3,Experimental,MAE,54.24420547485352,OptimiserType.Adam,17,1
71,0.3,3,Experimental,MSE,3206.694580078125,OptimiserType.Adam,17,1
72,0.3,3,Experimental,RMSE,56.08017349243164,OptimiserType.Adam,18,1
73,0.3,3,Experimental,MAPE,0.9174992442131042,OptimiserType.Adam,18,1
74,0.3,3,Experimental,MAE,53.76919174194336,OptimiserType.Adam,18,1
75,0.3,3,Experimental,MSE,3155.317138671875,OptimiserType.Adam,18,1
76,0.3,3,Experimental,RMSE,55.56623458862305,OptimiserType.Adam,19,1
77,0.3,3,Experimental,MAPE,0.906442642211914,OptimiserType.Adam,19,1
78,0.3,3,Experimental,MAE,53.23262786865234,OptimiserType.Adam,19,1
79,0.3,3,Experimental,MSE,3097.829833984375,OptimiserType.Adam,19,1
80,0.3,3,Experimental,RMSE,54.987247467041016,OptimiserType.Adam,20,1
81,0.3,3,Experimental,MAPE,0.8939735293388367,OptimiserType.Adam,20,1
82,0.3,3,Experimental,MAE,52.627532958984375,OptimiserType.Adam,20,1
83,0.3,3,Experimental,MSE,3033.6962890625,OptimiserType.Adam,20,1
84,0.3,3,Experimental,RMSE,54.336185455322266,OptimiserType.Adam,21,1
85,0.3,3,Experimental,MAPE,0.8799359798431396,OptimiserType.Adam,21,1
86,0.3,3,Experimental,MAE,51.94634628295898,OptimiserType.Adam,21,1
87,0.3,3,Experimental,MSE,2962.374267578125,OptimiserType.Adam,21,1
88,0.3,3,Experimental,RMSE,53.605281829833984,OptimiserType.Adam,22,1
89,0.3,3,Experimental,MAPE,0.8641587495803833,OptimiserType.Adam,22,1
90,0.3,3,Experimental,MAE,51.18065643310547,OptimiserType.Adam,22,1
91,0.3,3,Experimental,MSE,2883.3203125,OptimiserType.Adam,22,1
92,0.3,3,Experimental,RMSE,52.786251068115234,OptimiserType.Adam,23,1
93,0.3,3,Experimental,MAPE,0.8464555740356445,OptimiserType.Adam,23,1
94,0.3,3,Experimental,MAE,50.32157897949219,OptimiserType.Adam,23,1
95,0.3,3,Experimental,MSE,2796.005126953125,OptimiserType.Adam,23,1
96,0.3,3,Experimental,RMSE,51.870243072509766,OptimiserType.Adam,24,1
97,0.3,3,Experimental,MAPE,0.8266289830207825,OptimiserType.Adam,24,1
98,0.3,3,Experimental,MAE,49.35926055908203,OptimiserType.Adam,24,1
99,0.3,3,Experimental,MSE,2699.93798828125,OptimiserType.Adam,24,1
100,0.3,3,Experimental,RMSE,50.84777069091797,OptimiserType.Adam,25,1
101,0.3,3,Experimental,MAPE,0.8044936060905457,OptimiserType.Adam,25,1
102,0.3,3,Experimental,MAE,48.283180236816406,OptimiserType.Adam,25,1
103,0.3,3,Experimental,MSE,2594.68603515625,OptimiserType.Adam,25,1
