,Epsilon,Lamda,Size,Criterion,Loss,OptimizerType,Checkpoint,Trial
66,0.3,3,Experimental,MAE,55.12166976928711,OptimiserType.AdamW,16,1
67,0.3,3,Experimental,MSE,3363.148193359375,OptimiserType.AdamW,16,1
68,0.3,3,Experimental,RMSE,57.32515335083008,OptimiserType.AdamW,17,1
69,0.3,3,Experimental,MAPE,0.9868857264518738,OptimiserType.AdamW,17,1
70,0.3,3,Experimental,MAE,55.09669876098633,OptimiserType.AdamW,17,1
71,0.3,3,Experimental,MSE,3360.423828125,OptimiserType.AdamW,17,1
72,0.3,3,Experimental,RMSE,57.30123519897461,OptimiserType.AdamW,18,1
73,0.3,3,Experimental,MAPE,0.9863256812095642,OptimiserType.AdamW,18,1
74,0.3,3,Experimental,MAE,55.07158660888672,OptimiserType.AdamW,18,1
75,0.3,3,Experimental,MSE,3357.662353515625,OptimiserType.AdamW,18,1
76,0.3,3,Experimental,RMSE,57.27661895751953,OptimiserType.AdamW,19,1
77,0.3,3,Experimental,MAPE,0.985746443271637,OptimiserType.AdamW,19,1
78,0.3,3,Experimental,MAE,55.04627990722656,OptimiserType.AdamW,19,1
79,0.3,3,Experimental,MSE,3354.840087890625,OptimiserType.AdamW,19,1
80,0.3,3,Experimental,RMSE,57.2514762878418,OptimiserType.AdamW,20,1
81,0.3,3,Experimental,MAPE,0.9851519465446472,OptimiserType.AdamW,20,1
82,0.3,3,Experimental,MAE,55.01920318603516,OptimiserType.AdamW,20,1
83,0.3,3,Experimental,MSE,3351.937744140625,OptimiserType.AdamW,20,1
84,0.3,3,Experimental,RMSE,57.2257194519043,OptimiserType.AdamW,21,1
85,0.3,3,Experimental,MAPE,0.98454749584198,OptimiserType.AdamW,21,1
86,0.3,3,Experimental,MAE,54.992469787597656,OptimiserType.AdamW,21,1
87,0.3,3,Experimental,MSE,3348.9775390625,OptimiserType.AdamW,21,1
88,0.3,3,Experimental,RMSE,57.199440002441406,OptimiserType.AdamW,22,1
89,0.3,3,Experimental,MAPE,0.9839300513267516,OptimiserType.AdamW,22,1
90,0.3,3,Experimental,MAE,54.96544647216797,OptimiserType.AdamW,22,1
91,0.3,3,Experimental,MSE,3345.958740234375,OptimiserType.AdamW,22,1
92,0.3,3,Experimental,RMSE,57.17265319824219,OptimiserType.AdamW,23,1
93,0.3,3,Experimental,MAPE,0.9833021759986876,OptimiserType.AdamW,23,1
94,0.3,3,Experimental,MAE,54.9365348815918,OptimiserType.AdamW,23,1
95,0.3,3,Experimental,MSE,3342.8564453125,OptimiserType.AdamW,23,1
96,0.3,3,Experimental,RMSE,57.1451530456543,OptimiserType.AdamW,24,1
97,0.3,3,Experimental,MAPE,0.982656478881836,OptimiserType.AdamW,24,1
98,0.3,3,Experimental,MAE,54.90869140625,OptimiserType.AdamW,24,1
99,0.3,3,Experimental,MSE,3339.697021484375,OptimiserType.AdamW,24,1
100,0.3,3,Experimental,RMSE,57.11693572998047,OptimiserType.AdamW,25,1
101,0.3,3,Experimental,MAPE,0.9819936156272888,OptimiserType.AdamW,25,1
102,0.3,3,Experimental,MAE,54.87929153442383,OptimiserType.AdamW,25,1
103,0.3,3,Experimental,MSE,3336.45166015625,OptimiserType.AdamW,25,1
