,Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal,DistanceType
45,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5057390332221985,10,Adamax,5edb3_00000,Test,Geodesic
46,DCRNN,0.1,1,ExperimentalLR,MAE,12.223215103149414,10,Adamax,5edb3_00000,Test,Geodesic
47,DCRNN,0.1,1,ExperimentalLR,MSE,419.0155334472656,10,Adamax,5edb3_00000,Test,Geodesic
48,DCRNN,0.1,1,ExperimentalLR,RMSE,16.668315887451172,0,AdamW,5edb3_00001,Validation,Geodesic
49,DCRNN,0.1,1,ExperimentalLR,MAPE,0.4837375283241272,0,AdamW,5edb3_00001,Validation,Geodesic
50,DCRNN,0.1,1,ExperimentalLR,MAE,13.652775764465332,0,AdamW,5edb3_00001,Validation,Geodesic
51,DCRNN,0.1,1,ExperimentalLR,MSE,349.55908203125,0,AdamW,5edb3_00001,Validation,Geodesic
52,DCRNN,0.1,1,ExperimentalLR,RMSE,17.644351959228516,1,AdamW,5edb3_00001,Validation,Geodesic
53,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5454848408699036,1,AdamW,5edb3_00001,Validation,Geodesic
54,DCRNN,0.1,1,ExperimentalLR,MAE,13.209519386291504,1,AdamW,5edb3_00001,Validation,Geodesic
55,DCRNN,0.1,1,ExperimentalLR,MSE,492.3957824707031,1,AdamW,5edb3_00001,Validation,Geodesic
56,DCRNN,0.1,1,ExperimentalLR,RMSE,17.65477752685547,2,AdamW,5edb3_00001,Validation,Geodesic
57,DCRNN,0.1,1,ExperimentalLR,MAPE,0.545785665512085,2,AdamW,5edb3_00001,Validation,Geodesic
58,DCRNN,0.1,1,ExperimentalLR,MAE,13.22154426574707,2,AdamW,5edb3_00001,Validation,Geodesic
59,DCRNN,0.1,1,ExperimentalLR,MSE,492.8028869628906,2,AdamW,5edb3_00001,Validation,Geodesic
60,DCRNN,0.1,1,ExperimentalLR,RMSE,17.461009979248047,3,AdamW,5edb3_00001,Validation,Geodesic
61,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5401442050933838,3,AdamW,5edb3_00001,Validation,Geodesic
62,DCRNN,0.1,1,ExperimentalLR,MAE,12.998839378356934,3,AdamW,5edb3_00001,Validation,Geodesic
63,DCRNN,0.1,1,ExperimentalLR,MSE,485.06298828125,3,AdamW,5edb3_00001,Validation,Geodesic
64,DCRNN,0.1,1,ExperimentalLR,RMSE,17.535024642944336,4,AdamW,5edb3_00001,Validation,Geodesic
65,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5423023104667664,4,AdamW,5edb3_00001,Validation,Geodesic
66,DCRNN,0.1,1,ExperimentalLR,MAE,13.082859992980955,4,AdamW,5edb3_00001,Validation,Geodesic
67,DCRNN,0.1,1,ExperimentalLR,MSE,488.0554809570313,4,AdamW,5edb3_00001,Validation,Geodesic
68,DCRNN,0.1,1,ExperimentalLR,RMSE,17.442781448364258,5,AdamW,5edb3_00001,Validation,Geodesic
69,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5396106839179993,5,AdamW,5edb3_00001,Validation,Geodesic
70,DCRNN,0.1,1,ExperimentalLR,MAE,12.978326797485352,5,AdamW,5edb3_00001,Validation,Geodesic
71,DCRNN,0.1,1,ExperimentalLR,MSE,484.3165893554688,5,AdamW,5edb3_00001,Validation,Geodesic
72,DCRNN,0.1,1,ExperimentalLR,RMSE,17.47514533996582,6,AdamW,5edb3_00001,Validation,Geodesic
73,DCRNN,0.1,1,ExperimentalLR,MAPE,0.540554404258728,6,AdamW,5edb3_00001,Validation,Geodesic
74,DCRNN,0.1,1,ExperimentalLR,MAE,13.01449203491211,6,AdamW,5edb3_00001,Validation,Geodesic
75,DCRNN,0.1,1,ExperimentalLR,MSE,485.6370239257813,6,AdamW,5edb3_00001,Validation,Geodesic
76,DCRNN,0.1,1,ExperimentalLR,RMSE,17.457849502563477,7,AdamW,5edb3_00001,Validation,Geodesic
77,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5400534868240356,7,AdamW,5edb3_00001,Validation,Geodesic
78,DCRNN,0.1,1,ExperimentalLR,MAE,12.995223999023438,7,AdamW,5edb3_00001,Validation,Geodesic
79,DCRNN,0.1,1,ExperimentalLR,MSE,484.93408203125,7,AdamW,5edb3_00001,Validation,Geodesic
80,DCRNN,0.1,1,ExperimentalLR,RMSE,16.290802001953125,8,AdamW,5edb3_00001,Validation,Geodesic
81,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5033506155014038,8,AdamW,5edb3_00001,Validation,Geodesic
82,DCRNN,0.1,1,ExperimentalLR,MAE,12.24056625366211,8,AdamW,5edb3_00001,Validation,Geodesic
83,DCRNN,0.1,1,ExperimentalLR,MSE,412.4577026367188,8,AdamW,5edb3_00001,Validation,Geodesic
84,DCRNN,0.1,1,ExperimentalLR,RMSE,16.28900146484375,9,AdamW,5edb3_00001,Validation,Geodesic
85,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5032646656036377,9,AdamW,5edb3_00001,Validation,Geodesic
86,DCRNN,0.1,1,ExperimentalLR,MAE,12.24143409729004,9,AdamW,5edb3_00001,Validation,Geodesic
87,DCRNN,0.1,1,ExperimentalLR,MSE,412.2109375,9,AdamW,5edb3_00001,Validation,Geodesic
88,DCRNN,0.1,1,ExperimentalLR,RMSE,16.28940773010254,10,AdamW,5edb3_00001,Validation,Geodesic
89,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5032851696014404,10,AdamW,5edb3_00001,Validation,Geodesic
90,DCRNN,0.1,1,ExperimentalLR,MAE,12.241223335266112,10,AdamW,5edb3_00001,Validation,Geodesic
91,DCRNN,0.1,1,ExperimentalLR,MSE,412.2688598632813,10,AdamW,5edb3_00001,Validation,Geodesic
92,DCRNN,0.1,1,ExperimentalLR,RMSE,16.289445877075195,11,AdamW,5edb3_00001,Validation,Geodesic
93,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5032867789268494,11,AdamW,5edb3_00001,Validation,Geodesic
94,DCRNN,0.1,1,ExperimentalLR,MAE,12.24118709564209,11,AdamW,5edb3_00001,Validation,Geodesic
95,DCRNN,0.1,1,ExperimentalLR,MSE,412.2734069824219,11,AdamW,5edb3_00001,Validation,Geodesic
96,DCRNN,0.1,1,ExperimentalLR,RMSE,16.30730628967285,12,AdamW,5edb3_00001,Validation,Geodesic
97,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5041357278823853,12,AdamW,5edb3_00001,Validation,Geodesic
98,DCRNN,0.1,1,ExperimentalLR,MAE,12.233109474182127,12,AdamW,5edb3_00001,Validation,Geodesic
99,DCRNN,0.1,1,ExperimentalLR,MSE,414.6531677246094,12,AdamW,5edb3_00001,Validation,Geodesic
100,DCRNN,0.1,1,ExperimentalLR,RMSE,16.29160499572754,13,AdamW,5edb3_00001,Validation,Geodesic
101,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5033928155899048,13,AdamW,5edb3_00001,Validation,Geodesic
102,DCRNN,0.1,1,ExperimentalLR,MAE,12.240044593811035,13,AdamW,5edb3_00001,Validation,Geodesic
103,DCRNN,0.1,1,ExperimentalLR,MSE,412.5709838867188,13,AdamW,5edb3_00001,Validation,Geodesic
104,DCRNN,0.1,1,ExperimentalLR,RMSE,16.348508834838867,14,AdamW,5edb3_00001,Validation,Geodesic
105,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5059714913368225,14,AdamW,5edb3_00001,Validation,Geodesic
106,DCRNN,0.1,1,ExperimentalLR,MAE,12.22237777709961,14,AdamW,5edb3_00001,Validation,Geodesic
107,DCRNN,0.1,1,ExperimentalLR,MSE,419.6318664550781,14,AdamW,5edb3_00001,Validation,Geodesic
108,DCRNN,0.1,1,ExperimentalLR,RMSE,16.348623275756836,15,AdamW,5edb3_00001,Validation,Geodesic
109,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5059764981269836,15,AdamW,5edb3_00001,Validation,Geodesic
110,DCRNN,0.1,1,ExperimentalLR,MAE,12.222387313842772,15,AdamW,5edb3_00001,Validation,Geodesic
111,DCRNN,0.1,1,ExperimentalLR,MSE,419.6461181640625,15,AdamW,5edb3_00001,Validation,Geodesic
112,DCRNN,0.1,1,ExperimentalLR,RMSE,16.34872817993164,16,AdamW,5edb3_00001,Validation,Geodesic
113,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5059807896614075,16,AdamW,5edb3_00001,Validation,Geodesic
114,DCRNN,0.1,1,ExperimentalLR,MAE,12.222360610961914,16,AdamW,5edb3_00001,Validation,Geodesic
115,DCRNN,0.1,1,ExperimentalLR,MSE,419.6570434570313,16,AdamW,5edb3_00001,Validation,Geodesic
116,DCRNN,0.1,1,ExperimentalLR,RMSE,16.348833084106445,17,AdamW,5edb3_00001,Validation,Geodesic
117,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5059842467308044,17,AdamW,5edb3_00001,Validation,Geodesic
118,DCRNN,0.1,1,ExperimentalLR,MAE,12.222371101379396,17,AdamW,5edb3_00001,Validation,Geodesic
119,DCRNN,0.1,1,ExperimentalLR,MSE,419.6686401367188,17,AdamW,5edb3_00001,Validation,Geodesic
120,DCRNN,0.1,1,ExperimentalLR,RMSE,16.34837532043457,18,AdamW,5edb3_00001,Validation,Geodesic
121,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5059650540351868,18,AdamW,5edb3_00001,Validation,Geodesic
122,DCRNN,0.1,1,ExperimentalLR,MAE,12.222411155700684,18,AdamW,5edb3_00001,Validation,Geodesic
123,DCRNN,0.1,1,ExperimentalLR,MSE,419.6142578125,18,AdamW,5edb3_00001,Validation,Geodesic
124,DCRNN,0.1,1,ExperimentalLR,RMSE,16.348772048950195,19,AdamW,5edb3_00001,Validation,Geodesic
125,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5059822797775269,19,AdamW,5edb3_00001,Validation,Geodesic
126,DCRNN,0.1,1,ExperimentalLR,MAE,12.222314834594728,19,AdamW,5edb3_00001,Validation,Geodesic
127,DCRNN,0.1,1,ExperimentalLR,MSE,419.6607971191406,19,AdamW,5edb3_00001,Validation,Geodesic
128,DCRNN,0.1,1,ExperimentalLR,RMSE,16.35417366027832,20,AdamW,5edb3_00001,Validation,Geodesic
129,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5062102675437927,20,AdamW,5edb3_00001,Validation,Geodesic
130,DCRNN,0.1,1,ExperimentalLR,MAE,12.22157096862793,20,AdamW,5edb3_00001,Validation,Geodesic
131,DCRNN,0.1,1,ExperimentalLR,MSE,420.26861572265625,20,AdamW,5edb3_00001,Validation,Geodesic
132,DCRNN,0.1,1,ExperimentalLR,RMSE,16.356443405151367,21,AdamW,5edb3_00001,Validation,Geodesic
133,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5063056349754333,21,AdamW,5edb3_00001,Validation,Geodesic
134,DCRNN,0.1,1,ExperimentalLR,MAE,12.221274375915527,21,AdamW,5edb3_00001,Validation,Geodesic
135,DCRNN,0.1,1,ExperimentalLR,MSE,420.5232543945313,21,AdamW,5edb3_00001,Validation,Geodesic
136,DCRNN,0.1,1,ExperimentalLR,RMSE,16.357995986938477,22,AdamW,5edb3_00001,Validation,Geodesic
137,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5063695907592773,22,AdamW,5edb3_00001,Validation,Geodesic
138,DCRNN,0.1,1,ExperimentalLR,MAE,12.22100067138672,22,AdamW,5edb3_00001,Validation,Geodesic
139,DCRNN,0.1,1,ExperimentalLR,MSE,420.6929931640625,22,AdamW,5edb3_00001,Validation,Geodesic
140,DCRNN,0.1,1,ExperimentalLR,RMSE,16.358930587768555,23,AdamW,5edb3_00001,Validation,Geodesic
141,DCRNN,0.1,1,ExperimentalLR,MAPE,0.5064084529876709,23,AdamW,5edb3_00001,Validation,Geodesic
142,DCRNN,0.1,1,ExperimentalLR,MAE,12.22091007232666,23,AdamW,5edb3_00001,Validation,Geodesic
143,DCRNN,0.1,1,ExperimentalLR,MSE,420.7943115234375,23,AdamW,5edb3_00001,Validation,Geodesic
