,Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
59,LSTM,0.1,1,ExperimentalLR,MSE,407.2855529785156,7,Adamax,1da6e_00001,Validation
60,LSTM,0.1,1,ExperimentalLR,RMSE,16.310203552246094,8,Adamax,1da6e_00001,Validation
61,LSTM,0.1,1,ExperimentalLR,MAPE,0.5042715072631836,8,Adamax,1da6e_00001,Validation
62,LSTM,0.1,1,ExperimentalLR,MAE,12.231966018676758,8,Adamax,1da6e_00001,Validation
63,LSTM,0.1,1,ExperimentalLR,MSE,415.0278625488281,8,Adamax,1da6e_00001,Validation
64,LSTM,0.1,1,ExperimentalLR,RMSE,16.311296463012695,9,Adamax,1da6e_00001,Validation
65,LSTM,0.1,1,ExperimentalLR,MAPE,0.5043197274208069,9,Adamax,1da6e_00001,Validation
66,LSTM,0.1,1,ExperimentalLR,MAE,12.231618881225586,9,Adamax,1da6e_00001,Validation
67,LSTM,0.1,1,ExperimentalLR,MSE,415.1607360839844,9,Adamax,1da6e_00001,Validation
68,LSTM,0.1,1,ExperimentalLR,RMSE,16.308364868164062,10,Adamax,1da6e_00001,Validation
69,LSTM,0.1,1,ExperimentalLR,MAPE,0.504188060760498,10,Adamax,1da6e_00001,Validation
70,LSTM,0.1,1,ExperimentalLR,MAE,12.232621192932127,10,Adamax,1da6e_00001,Validation
71,LSTM,0.1,1,ExperimentalLR,MSE,414.79791259765625,10,Adamax,1da6e_00001,Validation
72,LSTM,0.1,1,ExperimentalLR,RMSE,16.309370040893555,11,Adamax,1da6e_00001,Validation
73,LSTM,0.1,1,ExperimentalLR,MAPE,0.5042324662208557,11,Adamax,1da6e_00001,Validation
74,LSTM,0.1,1,ExperimentalLR,MAE,12.232219696044922,11,Adamax,1da6e_00001,Validation
75,LSTM,0.1,1,ExperimentalLR,MSE,414.9160461425781,11,Adamax,1da6e_00001,Validation
76,LSTM,0.1,1,ExperimentalLR,RMSE,16.308883666992188,12,Adamax,1da6e_00001,Validation
77,LSTM,0.1,1,ExperimentalLR,MAPE,0.5042111873626709,12,Adamax,1da6e_00001,Validation
78,LSTM,0.1,1,ExperimentalLR,MAE,12.232429504394531,12,Adamax,1da6e_00001,Validation
79,LSTM,0.1,1,ExperimentalLR,MSE,414.8600158691406,12,Adamax,1da6e_00001,Validation
80,LSTM,0.1,1,ExperimentalLR,RMSE,16.308263778686523,13,Adamax,1da6e_00001,Validation
81,LSTM,0.1,1,ExperimentalLR,MAPE,0.5041813850402832,13,Adamax,1da6e_00001,Validation
82,LSTM,0.1,1,ExperimentalLR,MAE,12.232669830322266,13,Adamax,1da6e_00001,Validation
83,LSTM,0.1,1,ExperimentalLR,MSE,414.7780456542969,13,Adamax,1da6e_00001,Validation
84,LSTM,0.1,1,ExperimentalLR,RMSE,16.342422485351562,14,Adamax,1da6e_00001,Validation
85,LSTM,0.1,1,ExperimentalLR,MAPE,0.5057091116905212,14,Adamax,1da6e_00001,Validation
86,LSTM,0.1,1,ExperimentalLR,MAE,12.223236083984377,14,Adamax,1da6e_00001,Validation
87,LSTM,0.1,1,ExperimentalLR,MSE,418.93463134765625,14,Adamax,1da6e_00001,Validation
88,LSTM,0.1,1,ExperimentalLR,RMSE,16.343852996826172,15,Adamax,1da6e_00001,Validation
89,LSTM,0.1,1,ExperimentalLR,MAPE,0.5057703852653503,15,Adamax,1da6e_00001,Validation
90,LSTM,0.1,1,ExperimentalLR,MAE,12.223089218139648,15,Adamax,1da6e_00001,Validation
91,LSTM,0.1,1,ExperimentalLR,MSE,419.0999755859375,15,Adamax,1da6e_00001,Validation
92,LSTM,0.1,1,ExperimentalLR,RMSE,16.343780517578125,16,Adamax,1da6e_00001,Validation
93,LSTM,0.1,1,ExperimentalLR,MAPE,0.5057671070098877,16,Adamax,1da6e_00001,Validation
94,LSTM,0.1,1,ExperimentalLR,MAE,12.223148345947266,16,Adamax,1da6e_00001,Validation
95,LSTM,0.1,1,ExperimentalLR,MSE,419.0914916992188,16,Adamax,1da6e_00001,Validation
96,LSTM,0.1,1,ExperimentalLR,RMSE,16.343870162963867,17,Adamax,1da6e_00001,Validation
97,LSTM,0.1,1,ExperimentalLR,MAPE,0.5057709217071533,17,Adamax,1da6e_00001,Validation
98,LSTM,0.1,1,ExperimentalLR,MAE,12.223085403442385,17,Adamax,1da6e_00001,Validation
99,LSTM,0.1,1,ExperimentalLR,MSE,419.1011657714844,17,Adamax,1da6e_00001,Validation
100,LSTM,0.1,1,ExperimentalLR,RMSE,16.343767166137695,18,Adamax,1da6e_00001,Validation
101,LSTM,0.1,1,ExperimentalLR,MAPE,0.5057665705680847,18,Adamax,1da6e_00001,Validation
102,LSTM,0.1,1,ExperimentalLR,MAE,12.223148345947266,18,Adamax,1da6e_00001,Validation
103,LSTM,0.1,1,ExperimentalLR,MSE,419.0900268554688,18,Adamax,1da6e_00001,Validation
104,LSTM,0.1,1,ExperimentalLR,RMSE,16.343849182128906,19,Adamax,1da6e_00001,Validation
105,LSTM,0.1,1,ExperimentalLR,MAPE,0.5057703256607056,19,Adamax,1da6e_00001,Validation
106,LSTM,0.1,1,ExperimentalLR,MAE,12.223090171813965,19,Adamax,1da6e_00001,Validation
107,LSTM,0.1,1,ExperimentalLR,MSE,419.0998229980469,19,Adamax,1da6e_00001,Validation
108,LSTM,0.1,1,ExperimentalLR,RMSE,16.345911026000977,20,Adamax,1da6e_00001,Validation
109,LSTM,0.1,1,ExperimentalLR,MAPE,0.5058593153953552,20,Adamax,1da6e_00001,Validation
110,LSTM,0.1,1,ExperimentalLR,MAE,12.22283172607422,20,Adamax,1da6e_00001,Validation
111,LSTM,0.1,1,ExperimentalLR,MSE,419.33538818359375,20,Adamax,1da6e_00001,Validation
112,LSTM,0.1,1,ExperimentalLR,RMSE,16.347965240478516,21,Adamax,1da6e_00001,Validation
113,LSTM,0.1,1,ExperimentalLR,MAPE,0.5059482455253601,21,Adamax,1da6e_00001,Validation
114,LSTM,0.1,1,ExperimentalLR,MAE,12.222437858581545,21,Adamax,1da6e_00001,Validation
115,LSTM,0.1,1,ExperimentalLR,MSE,419.5721740722656,21,Adamax,1da6e_00001,Validation
116,LSTM,0.1,1,ExperimentalLR,RMSE,16.349863052368164,22,Adamax,1da6e_00001,Validation
117,LSTM,0.1,1,ExperimentalLR,MAPE,0.5060300230979919,22,Adamax,1da6e_00001,Validation
118,LSTM,0.1,1,ExperimentalLR,MAE,12.222229957580566,22,Adamax,1da6e_00001,Validation
119,LSTM,0.1,1,ExperimentalLR,MSE,419.788818359375,22,Adamax,1da6e_00001,Validation
120,LSTM,0.1,1,ExperimentalLR,RMSE,16.35146713256836,23,Adamax,1da6e_00001,Validation
121,LSTM,0.1,1,ExperimentalLR,MAPE,0.5060971975326538,23,Adamax,1da6e_00001,Validation
122,LSTM,0.1,1,ExperimentalLR,MAE,12.221901893615724,23,Adamax,1da6e_00001,Validation
123,LSTM,0.1,1,ExperimentalLR,MSE,419.967529296875,23,Adamax,1da6e_00001,Validation
124,LSTM,0.1,1,ExperimentalLR,RMSE,16.35280418395996,24,Adamax,1da6e_00001,Validation
125,LSTM,0.1,1,ExperimentalLR,MAPE,0.5061541199684143,24,Adamax,1da6e_00001,Validation
126,LSTM,0.1,1,ExperimentalLR,MAE,12.221792221069336,24,Adamax,1da6e_00001,Validation
127,LSTM,0.1,1,ExperimentalLR,MSE,420.1167602539063,24,Adamax,1da6e_00001,Validation
128,LSTM,0.1,1,ExperimentalLR,RMSE,16.3536434173584,25,Adamax,1da6e_00001,Validation
129,LSTM,0.1,1,ExperimentalLR,MAPE,0.506187379360199,25,Adamax,1da6e_00001,Validation
130,LSTM,0.1,1,ExperimentalLR,MAE,12.2216215133667,25,Adamax,1da6e_00001,Validation
131,LSTM,0.1,1,ExperimentalLR,MSE,420.2077941894531,25,Adamax,1da6e_00001,Validation
132,LSTM,0.1,1,ExperimentalLR,RMSE,16.35424041748047,26,Adamax,1da6e_00001,Validation
133,LSTM,0.1,1,ExperimentalLR,MAPE,0.5062136650085449,26,Adamax,1da6e_00001,Validation
